	상담사질문(요청)
496	저희 은행 인터넷 뱅킹이나 모바일 뱅킹 사용하고 계신가요?
513	전화 주신분 본인 계좌가 맞으신가요?
516	혹시 저희은행 인터넷 뱅킹이나 모바일 뱅킹을 이용하고 계신가요?
535	따님 나이가 어떻게 되시나요?
553	확인하려는 계좌가 본인 계좌 맞으신가요?
556	혹시 모바일 뱅킹 서비스를 이용하고 계신가요?
568	아 해지계좌조회가 있네요?
573	계좌 예금주 본인 맞으신가요?
576	저희 은행 모바일 뱅킹을 이용하고 계신가요?
578	앱 설치 가능하신가요?
593	따님 계좌의 거래내역을 부모님이 알고 싶으신건가요?
595	미성년 자녀분 맞으신가요?
613	예금주가 자녀분 맞으신가요?
615	자녀분은 미성년자 이신가요?
617	자녀분의 거래내역이 궁금하신건가요?
622	그럼 큰애랑 같이 가야 하나요?
633	조회하고자 하시는 계좌 예금주의 부모님 되시나요?
653	성함이 어떻게 되시나요?
655	계좌주 본인 맞으신가요?
657	고객님 계좌가 3개 있는데요 어떤 계좌 거래내역을 확인하고 싶으신가요?
665	궁금하신 거래내역 기간은 언제부터 언제까지 인가요?
673	본인 통장 맞으신가요?
675	통장정리시 압축정리를 하신건가요?
695	통장 압축한 부분의 거래내역 확인이 필요하신가요?
734	혹시 저희 카드사 홈페이지에 회원가입 되어 있으신가요?
740	카드 사용내역 문자 서비스를 받고 계신가요?
766	조회 원하시는 날짜가 어떻게 되시나요?
782	이메일로 수령 가능하신데 메일로 보내드릴까요?
793	가지고 계신 카드의 거래내역이 필요하신 건가요?
801	조회를 원하시는 날짜가 어떻게 되시나요?
803	수령은 어떤 방법을 원하시나요?
809	팩스번호가 어떻게 되시나요?
813	원하시는 기간이 어떻게 되시나요?
819	대리인이 방문하시는 건가요?
828	더 궁금한 점 있으신가요?
833	개인이신가요?
839	대표님이 직접 오시나요? 대리인께서 오시나요?
859	대리인이 방문 하시나요?
881	대리인께서 방문하시는 건가요?
897	거래한 날짜를 알고 계신가요?
899	2013년 몇월이실까요?
915	거래날짜가 어떻게 되시나요?
917	정확한 날짜가 혹시 기억나시나요?
924	모바일 뱅킹 이용 가능하신가요?
926	상단 오른쪽에 메뉴버튼 보이시나요?
935	지금 앱 확인이 가능하신가요?
942	상단에 금융상품 메뉴가 보이시나요?
949	더 궁금한 사항이 있으신가요?
953	홈페이지에서 확인해 보셨나요?
955	언제쯤 가입하셨나요?
957	몇월인지는 기억이 안나시나요?
973	선물환 거래 내역이 궁금하신 건가요?
975	인터넷으로도 확인 가능하신데 알고 계신가요?
977	선물환 프로그램은 설치 하셨나요?
981	왼쪽 하단에 FX/선물환 이라고 있습니다. 보이시나요?
985	선물환 등록은 하셨나요?
994	서면으로 확인이 필요하신가요?
1027	계신곳이 어디신가요?
1053	네 영문거래내역 어떤걸 도와 드릴까요?
1055	영문 거래내역가 필요하신가요?
1113	네 무엇을 도와 드릴까요?
1133	네 무엇을 도와 드릴까요?
1177	먼저 로그인 하셨나요?
1193	네 무엇을 도와 드릴까요?
1195	인터넷 뱅킹 신청은 하셨나요?
1197	아이디와 비밀번호 알고 계신가요?
1199	공인인증서 발급은 받으셨나요?
1209	상단에 계좌 조회 메뉴가 보이시나요?
1215	모바일뱅킹 신청은 하셨나요?
1217	아이디와 비밀번호 알고 계신가요?
1224	거래내역이 확인되시나요?
1227	상단에 달력 아이콘 보이시나요?
1234	계좌 거래 내역이 궁금하신가요?
1236	현재 모바일 뱅킹은 안하시나요?
1265	거주하고 계신 지역이 어디신가요?
1273	네 무엇을 도와 드릴까요?
1275	거래상세내역이 궁금하신 건가요?
1285	계신곳이 어디신가요?
1293	네 고객님 카드거래내역이 필요하신건가요?
1298	전화번호가 어떻게 되시나요?
1301	거래내역 확인이 필요하신 기간이 언제이신가요?
1313	네 고객님 무엇을 도와드릴까요?
1320	보유하고 계신 카드 2개 중 어떤 카드 명세가 필요하신가요?
1322	다시 우편으로 발송해 드릴까요?
1349	더 궁금하신 점은 없으신가요?
1353	네 무엇을 도와드릴까요?
1364	어떤 방법으로 받아 보시길 원하시나요?
1366	주소지 확인 부탁드립니다. 서울 강서구 발산동 다음이 어떻게 되시나요?
1373	네 무엇을 도와 드릴까요?
1375	주식거래 내역 삭제를 요청하시는 건가요?
1393	네 무엇을 도와 드릴까요?
1396	전화번호가 어떻게 되시나요?
1398	계좌 비밀번호 앞두자리가 어떻게 되시나요?
1401	금일 거래내역서에 표기된 부분인가요?
1405	혹시 지난 OO일 OOO증권 어플을 이용해 거래를 하셨나요?
1414	거래내역 확인해 드리면 될까요?
1416	어떤 부분이 이상하신가요?
1450	더 궁금한 점 있으신가요?
1453	네 반갑습니다 고객님 무엇을 도와드릴까요?
1457	모바일 뱅킹을 사용하고 계신가요?
1469	더 궁금하신 점은 없으신가요?
1474	고객님 보유계좌가 3개 있으십니다. 어느 계좌 내역이 필요하신가요?
1478	기간은 어떻게 해드릴까요?
1480	2020년 상반기 6개월 거래내역이 필요하신가요?
1484	양이 조금 많은데 괜찮으실까요?
1487	메일주소가 어떻게 되시나요?
1490	더 궁금한 점 있으신가요?
1494	컴퓨터에 엑셀 프로그램이 설치되어 있으신가요?
1497	원하시는 날짜를 먼저 설정해주세요.
1499	검색을 누르시니 원하시는 날짜의 거래내역이 나왔나요?
1501	그럼 상단에 엑셀파일 받기가 보이시나요?
1503	클릭해주십시요.
1505	원하시는 거래내역이 엑셀파일로 잘 보이시나요?
1518	엑셀,PDF 사용이 힘드신가요?
1525	프로그램에서 안보이시나요?
1528	프로그램을 어떻게 설치하나요?
1534	언제 거래하신 내역인가요?
1536	금액이 얼마인가요?
1539	수신인이 잘못되신건가요?
1543	잘못기입한 계좌번호는 어떻게 되나요?
1545	이체 중간 확인 작업을 하셨나요?
1553	네 무엇을 도와드릴까요?
1555	모바일 거래내역 알림이 필요하신건가요?
1560	상단에 종모양이 보이시나요?
1563	알림설정 메뉴가 보이시나요?
1566	알림설정 on off메뉴가 보이시나요?
1580	거래내역이 보이지 않는다는 말씀이신가요?
1584	마지막 거래일이 오늘 오전 00시 맞으신가요?
1590	거래내역에 문제는 없으신가요?
1593	네 감사합니다. 거래내역 간편조회가 필요하신가요?
1595	스마트폰 사용하고 계신가요?
1597	모바일 뱅킹 사용하고 계신가요?
1599	이용해보신적은 있으신가요?
1603	상단 왼쪽에 메뉴 버튼 보이시나요?
1626	최종잔액을 알려드리면 될까요?
1630	더 필요하신 정보가 있습니까?
1635	모바일 뱅킹 앱이 깔려있나요?
1655	컴퓨터 앞에 계신가요?
1665	개인이세요? 기업이세요?
1674	우선 저희은행 인터넷뱅킹 회원에 가입하셨나요?
1685	가까운 지점을 안내해 드릴까요?
1694	우선 OO은행 인터넷뱅킹 사이트에 회원이세요?
1703	개인이세요? 기업이세요?
1714	저희 OO은행 인터넷뱅킹은 가입되어 있으신가요?
1716	인터넷뱅킹 가입시 인증서도 등록하셨나요?
1718	인터넷뱅킹을 가입하실대 인증서 등록을 안하셧나요?
1725	가까운 지점을 안내해 드릴까요?
1730	더 궁금한점이 있으신가요?
1734	인터넷뱅킹과 인증서 등록은 하셨나요?
1738	개인회원이세요? 기업회원이세요?
1744	맨위에 인증서관리가 보이시나요?
1756	개인사용자 세요? 기업 사용자세요?
1762	맨위 메뉴들이 보이시나요?
1765	원하시는 조회가 잔액조회라고 하셨나요?
1769	고객님의 계좌가 보이시나요?
1780	상단에 툴바 메뉴들이 보이세요?
1784	고객님의 계좌번호가 보이세요?
1786	아 에러창 메시지가 어떻게 되나요?
1788	하단의 인터넷뱅킹 상담전화번호가 보이시나요?
1794	어떤 에러 메세지가뜨나요?
1799	고객님 개인회원이세요? 법인회원이세요?
1833	OO은행 사이트가 저절로 닫히나요?
1835	혹시 다른 사이트를 열어보셨나요?
1837	그러면 저희 은행사이트만 열면 닫히나요?
1841	익스플로어 상단에 도구가 보이시나요?
1845	아래 부분에 인터넷옵션이 보이세요?
1847	인터넷옵션에서 검색기록 보이세요?
1865	네 어떤 메시지가 뜨세요?
1869	잔고조회 옆 5년전 잔고조회의뢰 메뉴가 보이세요?
1878	모바일 왼쪽 상단에 톱니바퀴 모양이 보이세요?
1886	고객님의 계좌정보가 보이세요
1890	궁금하신 내용이 해결되셨나요?
1895	다른 앱을 클릭해도 같은 증상이 일어나나요?
1914	혹시 인터넷뱅킹 인증서를 가지고 계시나요?
1920	인증서 관리 메뉴가 보이세요?
1926	그러면 박스에 번호 메시지가 뜨나요?
1934	어디은행을 이용하고 계신가요?
1936	이용하고계신 은행들 모두 회원가입되어있으신가요
1953	네  오픈뱅킹 계좌관리 말씀하시나요?
1974	상세히 어떻게 안되시나요?
1976	어떤 경고 메시지가 뜨시나요?
1979	고객님 PC/모바일 뱅킹 모두 사용하시나요?
1981	그러시면 지금 PC/모바일 뱅킹에 들어가 계세요?
1994	잔고 확인 할 수있는 방법이 궁금하세요?
1999	제일 쉬운 방법을 안내해 드릴까요?
2001	이용하고계신 은행이 어디신가요?
2019	우선 제일 쉽게 할 수 있는 경로로 안내해 드릴까요?
2025	스마트폰 사용하고 계신가요?
2036	전화 연결이 어떻게 안되시는지요?
2054	네 잔액확인을 상담원과 통화로 하고싶으신가요?
2059	안내해 드릴까요?
2073	은행 잔액이 맞지 않다는 말씀인가요?
2075	어떻게 잔액이 안맞는다는 건가요?
2077	모바일앱 잔액과 통장잔액이 동일하지 않나요?
2080	우선 고객님의 정보보호를 위해서 핸드폰 뒷자리는요 어떻게 되나요?
2094	외상매출채권 잔고 조회를 하고싶으신가요?
2096	외상매출채권은 계약되어져 있나요?
2098	그러시면 사업자 번호를 불러주세요.
2100	법인번호도 불러주시겠어요?
2109	9월 3천만원 10월 1천만원 사용하셨는데 맞으세요?
2113	네 지금 잔고로는 부족하세요?
2115	개인사업자세요,법인사업자세요?
2117	어디를 거래하시는데 외상매출을 쓰시나요?
2134	법인고객님이 맞으세요?
2138	할인받으실 금액이 얼마세요?
2147	꼭 4900만원이 한번에 필요하신가요?
2155	구매론 사용은 처음이신가요?
2173	저희 은행에 대출이 있으신가요?
2175	어떤 대출을 사용하고 계신가요?
2180	주택담보대출 계좌 알고계신가요?
2194	어디 카드 사용하고 계시나요?
2214	어느 계좌의 거래내역이 궁금하신가요?
2216	생활비 라는 통장 거래내역을 원하세요?
2218	기간은 어떻게 설정해 드릴까요?
2230	더한 궁금증은 없으세요?
2234	컴퓨터에 엑셀 프로그램은 설치되어 있나요?
2239	원하시는 날짜의 거래내역이 나왔나요?
2241	자 그럼 상단에 엑셀화일 받기가 보이세요?
2258	엑셀,PDF 파일 프로그램이 없으신가요?
2265	프로그램에서 안보이세요?
2277	금액이 얼마인가요?
2282	이체할 예금주가 어떻게 되시나요?
2284	그런데 어디로 이체 하셨나요?
2293	모바일앱 이용하세요?
2295	모바일 앱에서 거래내역을 알람받고 싶으세요?
2300	상단에 별모양 보이시나요?
2303	조회 메뉴가 보인기요?
2319	거래를 언제 하셨나요?
2321	거래를 하는중에 문제는 없었나요?
2334	스마트폰 사용하고 계신가요?
2336	스마트폰에 저희 은행 앱도 깔려 있나요?
2361	은행앱에 들어가셨나요?
2363	상단에 조회메뉴가 보이시나요?
2386	상단에 인쇄메뉴가 보이시나요?
2389	고객님의 출력가능한 프린터가 보이나요?
2393	20년전의 거래내역 확인을 원하시나요?
2433	마이너스통장 잔고금액을 알려드릴까요?
2438	마이너스통장 한도를 늘이고 싶으세요?
2440	지금 마이너스통장 한도가 얼만지 아시나요?
2442	얼마를 늘이고 싶으신가요?
2454	주택청약 통장에 대해 궁금하신 건가요?
2456	어떤점이 궁금하신가요?
2461	2년이상 거래내역이 있으실까요?
2473	네 저희은행에 퇴직연금 가입되어 있으신가요?
2476	퇴직연금 잔액 확인해드릴까요?
2484	중도인출 서류 안내해 드릴까요?
2493	퇴직연금을 가지고 계신가요?
2495	가입자 성함이요?
2506	퇴직연금 이익율을 조회해 드릴까요?
2513	카드로 출금을 하시려고 하나요?
2515	그런데 어떻게 안되시나요?
2533	고객님 카드 현금출금을 하시려구요?
2535	그런데 출금이 안되세요?
2537	뭐라고 메시지가 나오나요?
2557	처음 보내 보시나요?
2564	보내는 국가가 어디신가요?
2577	빠른조회서비스 라는 항목이 보이세요?
2582	거래내역조회가 나오시나요?
2586	입금내역,출금내역,아님 전체내역중 필요하신 내역이?
2599	위에 보시면 공과금 메뉴가 보이시나요?
2603	부가가치세 납부 거래내역이 필요하신거죠?
2607	조회납부,자진납부,납부내역조회 보이세요?
2624	또 다른 문의사항 있으신가요?
2628	기간은 나누어서 볼 수 있나요?
2634	인터넷 뱅킹앱을 이용 하고 계신가요?
2654	인터넷 뱅킹앱을 이용 하고 계신가요?
2658	계좌등록이 되어있으신가요?
2672	OO은행은행입니다. 무엇을 도와드릴까요?
2688	궁금한게 있으신가요?
2692	OO은행입니다. 무엇을 도와드릴까요?
2709	다른 궁금하신 점이 있나요?
2717	설치하는 방법 먼저 알려드릴게요
2719	아이폰 사용하고 계신가요?
2743	영업점을 방문 하지 않고 복원하는 방법이 있을까요?
2748	더 궁금하신 거 있으신가요?
2752	OO은행입니다. 무엇을 도와드릴까요?
2765	매번 복잡하게 들어가서 해야하나요?
2775	전에 살던 주소로 발송된 문서가 있는지 확인 해주실수 있나요?
2781	주소변경 하는 걸 잊고 있었어 지금 변경해주실래요?
2788	신청해 주실래요?
2797	플레이 스토어 사용해 보셨나요?
2801	설치끝났어요. 그다음에는 어떻게하나요?
2806	천천히 안내해드릴까요?
2812	OO은행입니다. 무엇을 도와드릴까요 고객님?
2814	인터넷 뱅킹앱을 이용하고 계신가요?
2839	최근 3개년 거래내역이 필요한데요?
2901	어플로 등록 안내를 해드릴까요?
2906	개인정보동의를 위해 문자를보신후 동의하시면 번호를 불러주세요
2915	OO은행입니다. 무엇을 도와드릴까요 고객님?
2917	인터넷 뱅킹 어플을 이용하고 계신가요?
2921	먼저, 고객님 핸드폰 있으신가요?
2929	혹시 또 다른 문의사항 있으신가요?
2938	스마트폰을 사용하고계신가요?
2940	혹시 비행기 모드로 되어있으신가요?
2942	휴대폰 설정에 들어가 보실래요?
2944	은행 앱 알림서비스에 들어가보실래요?
2946	알림 허용이 되어있으신가요?
2948	은행 앱 들어가 보시겠어요?
2950	앱 설정에서 알림 수신 설정이 되어있나요?
2977	인터넷 뱅킹앱을 이용하고 계신가요?
2979	그럼, 고객센터를 이용해서 하는방법알려드릴까요?
3001	플레이 스토어 사용해 보셨나요?
3005	설치끝났어요. 그다음에는 어떻게하죠?
3010	다시 안내해드릴까요?
3014	핸드폰으로 입출금 내역 확인되셨어요?
3019	아 그러시군요 인터넷뱅킹으로 안내해 드릴까요?
3021	인터넷 뱅킹 홈페이지 창을 열어주세요.
3057	1998년 거래내역이 필요하신가요?
3078	OOOO년 0월 11일 금요일 13시 일억이천만원 이체하셨습니까?
3080	받으신 분이 OOO맞으신가요?
3082	혹시 받으신분 연락처나 주소 알수 있을까요?
3085	받으시는 분이 잘못되셨나요?
3097	마이너스 통장 잔고 금액이 궁금하신가요?
3102	마이너스통장 한도 확대를 원하시나요?
3104	현재마이너스 통장 한도는 5000만원 입니다 맞으신가요?
3106	얼마까지 늘리고 싶으신가요?
3120	혹시 비밀번호를 5회이상 입력하셨나요?
3134	더 궁금하신 점이 있으실까요?
3154	더 필요하신 부분 있으십니까?
3204	확인 결과 고객님 명의로 조회되지않는데 가족명의로 되어있는지 확인해 볼까요?
3206	당사의 핸드폰을 소지하신 배우자나 다른 가족분이 있으신가요?
3208	배우자님의 성함이 어떻게 되시나요?
3210	주민등록번호가 어떻게 되시나요?
3212	그럼 남편에게 알림서비스가 신청되었나요?
3218	거래내역 확인할수는 있나요?
3220	은행 앱을 깔아야하나요?
3222	제핸드폰은 삼성폰 인데요?
3224	지급 바로 해보실래요 ?
3226	어떻게 잘 되나요?
3228	공인인증서가 핸드폰에 있으신가요?
3230	그러시다면 은행 앱 실행시키시고 공인인증서와 계좌 등록 후 거래내역 확인해 보실래요
3240	일정기간 거래내역을 알고 싶으신가요
3242	작년 3~4월이면 2019년 3월 1일부터 4월 30일을 말씀하시는건가요?
3258	법인대리점에 소속된 설계사 인가요
3260	그럼 개인대리점에 소속된 설계사 인가요
3262	개인 사업자 번호 알려 주실래요
3264	거래내역 출력기간을 알려주실래요
3298	개인고객이세요? 기업고객이세요?
3300	개인고객 기업고객 굳이 관계 있나요?
3332	더 필요하신 사항 없으십니까?
3427	주의사항이요?
3434	더 궁금하신 문의 있으신가요?
3514	더 필요하신 사항은 없으십니까?
3562	현재 살고 계세요?
3674	네 매우 만족 했습니다. 상담원 칭찬 서비스도 있나요?
3677	2013년도 3월 가입한 000종합보험말씀이신가요?
3697	성함과 주민등록번호알려주실수있나요?
3699	현재는 고객님이 계약자이신데 배우자님으로 변경하시려고요?
3701	변경방법을 알려드릴까요?
3703	두분다 내방하실수있으신가요?
3717	인적사항알려주실수 있으실까요?
3719	종합보험말씀하시나요?
3737	계약자본인이신가요?
3739	개명전의 성함과 주민등록번호알려주실수있으신가요?
3744	몇글자를 개명하셨나요?
3746	주민등록초본을 팩스로 보내주실수있으신가요?
3757	계약변경관련 보내드린 전자서명이 안되시나요?
3760	확인해보니 DM.SMS.전화를 수신거부하셨는데 알고계셨나요?
3773	자동이체 은행 잔고말씀이신가요?
3792	계약자 본인이신가요?
3794	어떤 보험의 입금내역을 확인해드릴까요?
3798	1년동안 입금내역을 알려드릴까요?
3861	고객님 혹시 보험금 잔고 인출하신적이 있으신가요?
3892	자동이체 중지를 요청하시는 건가요?
3894	자동이체에 불편한 점이 있으셨나요?
3896	보험료 납부내역 확인이 필요하신가요?
3947	네, 등록된 고객님 주소지로 보내드릴까요?
3952	분실하셨나요?
3956	어떤 방법으로 안내해드릴까요?
3969	자택 또는 회사 어디로 보내드릴까요?
3977	네 그러시군요, 재발급 도와드리면 될까요?
3979	보험은 계약자가 본인 맞으신 가요?
3981	팩스, 이메일, 우편으로 받으실 수 있는데, 어떻게 해드릴까요?
3985	자택과 직장 주소 등록되어 있는데 어디로 보내드리면 될까요?
3987	OO아파트 OO동 OO호 맞으신 가요?
4014	네, 무엇을 도와드릴까요?
4034	네, 무엇을 도와드릴까요?
4036	로그인을 하셨나요?
4043	더 궁금하신 사항 있으신가요?
4092	네, 무엇을 도와드릴까요?
4112	네, 도움이 필요하신가요?
4132	네, 무엇을 안내해드릴까요?
4172	네, 무엇을 도와드릴까요?
4175	성함이 어떻게 되시나요?
4192	네, 무엇을 도와드릴까요?
4200	전화주신 고객님 성함이 어떻게 되시나요?
4214	핸드폰번호가 어떻게 되시나요?
4220	전화주신 분은 OOO 고객님 본인이신가요?
4232	보험 가입자 본인 되시나요?
4237	다른 방법을 원하시나요?
4248	더 궁금하신 사항 있으신가요?
4303	전화주신 분은 OOO 고객님 본인이신가요?
4307	해당 주소로 보험금 지급안내문을 보내드릴까요?
4312	네, 무엇을 도와드릴까요?
4320	아, 지금 접속하고 계신가요?
4345	공인인증서로 로그인 하셨나요?
4358	산출내역을 확인하고 싶으신 거네요?
4374	네, 무엇을 도와드릴까요?
4390	네, 무엇을 도와드릴까요?
4399	전화주신 분은 OOO 고객님 본인이신가요?
4405	이메일과 팩스 중 어떤 방법으로 보내드릴까요?
4443	기간은 언제부터 조회해 드리면 될까요?
4466	다시 무사고할인을 받으실 수 있는 방법이 있는데 안내해드려 볼까요?
4474	네, 무엇을 도와드릴까요?
4536	핸드폰번호가 어떻게 되시나요?
4538	성함은 어떻게 되시나요?
4540	전화주신 분은 OOO 고객님 본인이신가요?
4552	네, 어떤 서류가 필요하신가요?
4556	홈페이지 상단에 MY 보이시나요?
4572	네, 무엇을 도와드릴까요?
4588	더 궁금하신 건 없으시고요?
4592	네, 무엇을 도와드릴까요?
4595	지금 로그인 되어 있으신가요?
4602	보험처리 하지 않으신 기록인가요?
4604	사고 당시 보험사에 연락 주셨었나요?
4611	더 궁금하신 점은 없으신지요?
4618	가입자 본인이 맞으신 가요?
4620	성함과 생년월일이 어떻게 되시나요?
4625	요청하신 서류가 가입증명서랑 견인확인서랑, 할인할증등급확인서 맞으시죠?
4694	네, 무엇을 도와드릴까요?
4700	전화주신 분은 OOO 고객님 본인이신가요?
4734	어떤 용도로 필요하신가요?
4738	고객님의 OOO 메일이 저희 전산에 있는데 이 쪽으로 보내드릴까요?
4742	저희 전산에도 방금 말씀해주신 메일로 정정해놓을까요?
4745	납입증명서는 언제부터 언제까지 납입한 내역을 보내드릴까요?
4751	네, 그래도 같이 보내드릴까요?
4760	네, 용도는 어떻게 쓰시나요?
4762	기간은 어떻게 보내드릴까요?
4776	어떤 용도로 사용하실 건가요?
4778	이메일과 팩스 중 어느 곳으로 보내드릴까요?
4783	네, OOOO@OOOO.COM 맞으신 가요?
4785	언제부터 언제까지 납입한 내역을 보내드릴까요?
4792	네, 가입자 본인 맞으신가요?
4805	제출용도는 어떻게 되시나요?
4807	기간은 어떻게 보내드릴까요?
4809	이메일과 팩스 중 어떻게 보내드릴까요?
4820	핸드폰번호 말씀해주시겠어요?
4822	성함도 말씀해주시겠어요?
4824	OOO님 본인 되시고요?
4826	생년월일은요?
4828	증권과 해지영수증 받으실 팩스번호는요?
4877	이미 보험에 가입되어 있으신가요?
4889	더 궁금하신 점 있으신가요?
4901	보험개발원에서 조회되신 휴면보험금액이 2000만원을 초과하시나요?
4903	그러시다면 홈페이지에서 신청하는 방법을 안내해드릴까요?
4937	본인 성명이 어떻게 되시나요
4939	주민등록번호 불러주시겠어요?
4953	네, 고객님 성함이 어떻게 되시나요?
4955	주민등록번호를 불러주시겠어요?
4957	발급 용도 알려주실래요?
4959	제출처는 어딘가요?
4961	잔고증명 몇부나 필요하신가요
4963	예금거래내역도 첨부해 드릴까요
4981	네, 어느 기간 거래 조회해 드릴까요?
4998	네, 조회 기간 언제로 원하시나요?
5008	네, 더 궁금하신 사항 있으세요?
5012	예금 잔액증명서 발급 받으시려는 건가요?
5032	공과금 납부하실껀가요?
5036	인터넷뱅킹 이용하시나요?
5054	여러 개의 계좌가 있으신데 어떤계좌의 거래내역서가 필요하신가요?
5056	고객님 명의로 된 저희 은행 계좌가 총 3건이 확인 되는데 이중 어떤걸 말씀하시는지 알수 있을까요?
5060	거래내역서가 필요하신 계좌번호 말씀해주시겠습니까?
5062	본인 확인을 위해서 비밀번호 앞의 두자리를 눌러주실수 있을까요??
5064	발급기간은 언제부터 언제까지 필요하십니까?
5072	전화하시는분 본인이신가요?
5092	기간은 언제부터 언제까지로 해드릴까요?
5098	법인대표가 오시나요?
5118	대표자께서 직접오시나요?
5136	연금이나 국가지원금 받으시는게 있으신가요?
5154	여러 개의 계좌가 있으신데 어떤계좌가 필요하신가요?
5156	저희 은행 계좌가 총 3건이 확인 되는데 이중 어떤걸 말씀하시는지 알수 있을까요?
5160	계좌번호를 알고 계신가요?
5162	본인 확인을 위해 비밀번호 앞의 두자리를 눌러주실수 있을까요??
5164	기간은 언제부터 언제까지 필요하십니까?
5168	팩스번호를 알려주시겠어요?
5172	본인 계좌가 맞으신가요?
5175	인터넷뱅킹이나 모바일뱅킹을 사용하고 계신가요?
5218	법인 대표자가 오시는 건가요?
5254	여러 개의 계좌가 있으신데 어떤계좌가 필요하신가요?
5256	저희 은행에서 3건의 계좌가 확인되고 있는데 어떤 계좌를 말씀하시는건가요?
5260	필요하신 계좌의 계좌번호 기억하고 계신가요?
5264	발급기간은 언제부터 언제까지 필요하십니까?
5292	기간은 언제부터 언제까지로 해드릴까요?
5298	법인대표님이 직접 오시나요?
5332	어떤 문의사항이 있으신가요?
5336	연금이나 국가지원금 받으시고 있으신게 있나요?
5402	잔고증명 내용은 고객단위, 계좌단위 선택하실 수 있는데 어떤 것으로 선택할까요?
5406	퇴직연금계좌도 고객단위로 신청하시면 같이 포함되게 되어 있습니다. 제외한 잔고증명서 발급을 원하시나요?
5408	발급기준일은 오늘로 진행할까요?
5419	고객단위, 계좌단위 선택하실 수 있습니다. 어떤 것으로 선택할까요?
5423	퇴직연금계좌도 고객단위로 신청하시면 같이 포함되게 되어 있습니다. 제외한 잔고증명서 발급을 원하시나요?
5425	발급기준일은 언제로 지정 해드릴까요?
5452	잔고증명서 발급을 도와드릴까요?
5494	등록되어 있으신 주소가 OO아파트 몇동 몇호신가요?
5496	사용하시는 핸드폰 번호의 뒷자리 4자리를말씀해주실 수 있나요?
5504	잔고증명 내용은 고객단위, 계좌단위 선택하실 수 있습니다. 어떤 것으로 선택할까요?
5508	퇴직연금계좌도 고객단위로 신청하시면 같이 포함되게 되어 있습니다. 제외한 잔고증명서 발급을 원하시나요?
