	상담사질문(요청)
1264	고객님 인터넷 뱅킹 가입하셨나요?
1266	어디 은행에서 이체예정이세요?
1268	지금 바로 사용가능하세요
1283	무엇을 도와드릴까요?
1289	고개님 성함과 생년월일 말해주시겠어요?
1291	개인정보동의 문자 좀 불러주세요
1303	어떤 걸로 알려드릴까요?
1342	전세자금대출 도와드릴까요?
1344	요즘 이자는 어떻게 해요
1359	더  궁금하신 사항 없나요?
1365	어느 은행에서 자동이체 신청하실거예요?
1367	지금 접속가능하시면 바로 안내드릴께요?
1382	네 보험료 이체 도와드릴까요?
1384	성함과 생년월일 말해주시겠어요?
1404	네 조회할 수 있게 고객님 생년월일을 말해주시겠어요?
1406	개인정보 동의 문자 불러주세요
1443	본인확인 부탁합니다. 주민등록번호 알려주세요
1462	이체 서비스 도와드릴까요?
1470	통장 만드실때 필요한서류 알려드릴까요?
1482	어떤 걸 도와드릴까요?
1488	조회해 보겠습니다.성함과 생년월일 말해주시겠어요?
1490	개인정보동의 문자 왔으면 불러주세요?
1501	기업은행입니다. 무엇을 도와드릴까요 고객님?
1507	다른 문의사항 있으실까요?
1513	다른문의사항 있으실까요?
1517	또 다른 문의사항 있으실까요?
1521	OO은행입니다. 무엇을 도와드릴까요 고객님?
1531	다른 문의사항 있으실까요?
1537	또 다른 문의사항 있으실까요?
1543	생년월일 뒷자리 7자리 입력하세요
1547	변경 결제일을 며칠로 해드릴까요?
1557	추가 질문하실건 없으신가요?
1567	계약자분 이름 말씀해 주세요.
1569	계약자분 주민등록번호도 말씀해 주세요.
1585	하루에 이체 한도가 1억이란 말씀인가요?
1607	저희 은행에 통장이 개설 되어있으신가요?
1622	법인사업장의  우대서비스에 대한 문의 신가요?
1670	핸드폰이 사용자 본인 명의 이신가요?
1693	고객님 핸드폰은 어떤 종류인가요?
1712	그럼 얼마나 해드릴까요?
1718	더 필요하신 부분 있으십니까?
1725	현금서비스 금액을 0원으로 하신다는 말씀이신가요?
1777	다른 문의 사항이 있으신가요?
1781	지금지점이신가요?
1817	더 궁금하신 사항 있으신가요?
1885	혹시 며칠날 송금하셨나요
1887	몇시에 송금하셨나요?
1890	어느 지역으로 보내셨나요?
1909	본인, 배우자 및 부양가족이 질병으로 6개월 이상 요양중인가요?
1911	최근 5년 이내 파산선고 또는 개인회생절차 개시 결정을 받은 적이 있으신가요?
1913	무주택자인 가입자가 본인 명의로 주택을 구입하셨나요?
1947	대출금액은 얼마나 필요하십니까?
1961	스마트뱅킹이신가요?
1992	고객님 성함이 어떻게 되시나요?
2006	개인고객이신가요?
2040	혹시 사용중이신 OTP가 저희 증권사에서 발급 받으신 건가요?
2042	OTP 뒷면에 제조일자 확인 알려주세요
2059	고객님 본인인증을 요청해도 되겠습니까?
2061	ARS , 카카오톡,공인인증 방법중 어떤 것으로 해드릴까요?
2064	아파트 담보대출은 주택구입과 생활자금 대출 중 어떤것으로 해드릴까요?
2066	아파트 소유주분이 본인 이신가요?
2070	현제 임대중이신지, 거주중이신지요?
2072	대출대상 아파트의주소를 알려주세요
2092	다른 문의사항이 있으신가요?
2096	이체 서비스 말씀하시는 건가요?
2098	인터넷뱅킹 혹시 알아요?
2102	그럼 근처에 편의점있어요?
2113	인터넷뱅킹을 한번도 사용한 적이 없으신가요?
2117	지금 본인이 계신 근처에 편의점은 있으신가요?
2126	본인 거래하시는 은행이 어디신가요?
2137	8천만원 한장으로 된 수표를 말씀하시는 건가요?
2142	통장에서 출금해서 발행하실 건가요?
2157	수표 금액이 어떻게 되시나요?
2159	한장인가요?
2177	100만원권 수표인가요?
2179	본인 통장으로 먼저 입금후 이체하실 건가요?
2197	올해 퇴직을 하시는군요
2199	퇴직연금 지급신청 방법을 안내해 드릴까요
2217	은행밖에 ATM기의 사용하신다는 말씀이세요?
2219	지금 계시는 곳이 어디신가요?
2222	현금을 직접 이체하시는 건가요?
2237	가상계좌를 통한 입금인가요?
2251	고객님 이용하시는데 도움이 되셨나요?
2254	다른 불편사항이 있으신가요?
2257	대출금 상환금액이 궁금하신가요?
2261	혹시 고객님 근처에 은행 ATM기가  있는 곳이 있으세요?
2270	상환일자 조회해 드릴까요?
2277	지도앱을 통해서 은행 CD기를 찾으시는 건가요?
2288	고객님이 계신곳이 00동 맞으신가요?
2297	어떤 은행 ATM기를 사용하신건가요?
2299	출금하실 예정이신가요?
2317	OO은행 지점 위치를 문의주시는 건가요?
2319	고객님이 계신곳이 00동인가요?
2322	다른 지점이 00동에 있는데 혹시 가실려면 먼 거리인가요?
2334	다른 문의 사항 있으신가요?
2337	OO은행 고객님 이신가요?
2347	한번도 이용을 안해보신건가요?
2378	어떤 점이 궁금하신가요?
2397	자동차세연납신청에 대한 문의 이신가요?
2405	사이트 주소를 알려드릴까요?
2417	자동차세납부에 대해 궁금하시군요?
2437	궁금하신 사항이 어떤건가요?
2441	지금 가지고 계신 차량의 세금을 말씀하시는 건가요?
2457	자동차세 납부고지서를 받으셨나요?
2463	세금 납부하시는 분이 아버지이신가요?
2465	고지서를 지금 가지고 계신가요?
2477	요번달 받으셨나요?
2497	자동차세 고지서를 받으셨나요?
2501	금액은 말씀을 해주지 않으셨나요?
2505	고지된 금액보다 2,200원 더 납부하신 건가요?
2518	고지되어진 자동차세금을 말씀하시는 건가요?
2520	가상계좌를 이용하셨나요?
2526	어떤게 말씀이신가요?
2528	자동차세금을 과납부하신게 맞으신가요?
2537	고객님 신용등급이 궁금하신가요?
2559	은행연합회를 방문하신다는 말씀이신가요?
2579	고객님 대출금 완납하신 날짜가 언제 이신가요?
2581	그러면 대출금 이자 납부일 날짜는요?
2583	그럼 대출금 원금과 이자일이 모두 15일 인가요?
2598	대출금 이자를 환급 받으시는 문의이신가요?
2601	000고객님 맞으신가요?
2604	대출금 이자부분이 이중출금되어서 환급된는 내용이 맞으신가요?
2609	OOOOOO-OO-OOOOOO이 맞으신가요
2624	혹시 상향가능 안내를 받으셨나요?
2633	상향 가능하십니다. 그런데 금액이 50만원밖에 안되시네요
2662	000고객님 주민등록번호도 불러주세요
2665	현재 원금은 000백만원이십니다. 이자는 몇일자로 알려드릴까요?
2677	어떤 종류의 대출이 신청하실 건가요?
2698	신용등급에 대한 문의이신가요?
2701	KCB 신용등급에 대해서 알려드릴까요?
2713	고객님의 신용등급을 알고 싶으신가요?
2717	신용등급에 관히 궁금하시군요?
2720	NICE신용평가에 대해서 대략적으로 설명해 드릴까요?
2732	올해는 연체내역이 없으신가요?
2734	고객님의 신용정보를 알고 싶으신가요?
2737	고객님의 신용등급을 알고 싶으신가요?
2739	신용등급으로 사용하실 일이 있으신가요?
2757	고객님의 신용등급이 궁금하신가요?
2777	어머니 체크카드 인가요?
2780	혹시 어머니께서 카드 비밀번호도 알려주셨나요?
2790	본인이 가지고 있는 체크카드 명의는 누구인가요?
2798	어떤 안내를 받으신 건가요?
2801	그럼 혹시 문자 내용을 알려주실 수 있으실까요?
2817	간편결제에 대해서 궁금하시군요
2833	요번 한달동안 네이버페이 간편결제 사용해 보시는건 어떤가요?
2837	어떤 점이 잘 안되시던가요?
2842	카카오페이로 등록하실 건가요?
2846	그럼 카카오페이를 실행해주시겠어요
2858	어떤 점이 궁금하신가요?
2874	11월에는 저희 카드 간편결제를 사용해 보시는건 어떠세요
2877	18세이시면 미성년자 인가요?
2881	출금은 은행에서 하시나요?
2898	어떤 문의 인지 자세히 설명해 주시겠어요?
2902	학생이신가요?
2908	혹시 OO은행 카드외에 사용하시는 앱이 있으신가요?
2926	유효기간이 지난것은 아니네요
2947	상품 아래쪽에 선물거절 안내멘트 보이세요?
2957	쿠폰 선물 말씀이신가요?
2977	어떤 모바일 상품권인가요?
2979	모바일 상품권은 어떤 경로로 받으셨나요?
2982	사용방법이 궁금하신 건가요?
3010	어떤 방법을 선택하실 건가요?
3041	혹시 카카오톡을 사용하고 있으신가요?
3043	카카오톡을 통한 선물하기를 안내해 드릴까요?
3048	지인분의 프로필에 보시면 상단에 선물하트 그림이 있으신가요?
3052	카카오페이 등록 되어 있으신가요?
3058	처음 사용해 보시나요
3064	친구분 프로필 상단에 보시면 원 표시가 보이시나요?
3070	혹시 카카오페이 연계계좌를 모르시나요?
3077	어떤점이 궁금하신가요?
3098	인터넷 뱅킹을 사용하시나요?
3100	혹시 비밀번호가 오류가 나던가요?
3119	본인인증 요청문자 발송해도 되겠습니까?
3133	자택주소지 말씀해 주세요
3140	사용하시고 계신 카드가 있으신가요?
3142	본인 카드이신가요?
3146	성함이 어떻게 되세요
3152	고객님은 당사 카드 2장을 소유하고 계십니다.어떤걸로 해드릴까요
3158	어떻게 변경해 드릴까요?
3161	성함 말씀해 주세요
3163	카드 번호나 주민등록번호 알려주세요
3166	고객님 00카드가 있으신데, 신청해 드릴까요?
3168	다른 궁금하신 점이 있으세요
3177	요금 납부 방법을 변경하시는 건가요?
3260	인터넷뱅킹 이용고객이신가요?
3277	개인형퇴직연금제도인 IRP에 등록되어 있으신가요?
3297	어떤내용 자동이체를 해지하고 싶으신가요?
3302	인터넷 뱅킹 사용하세요?
3306	찾으시면 말씀해주시겠어요?
3310	관리비 결제일이 언제이신가요?
3317	자동이체 계좌를 변경하실건가요?
3319	PC와 스마트폰 중 어떤 것이 편리하신가요?
3325	로그인 설정을 무엇으로 해 두셨나요?
3340	안내 해드릴까요?
3350	더 문의하실 내용이 있으신가요?
3359	주로 어떻게 이체거래를 하시나요?
3392	그러니까 스마트폰으로 처리할때도 불러오기가 되나요?
3402	고객님, 어떤 계좌인지 알려 주시겠어요?
3431	보안카드를 이용하시나요?
3441	세금도 등록되나요? 
3457	당행 체크 카드를 소지하고 계시나요?
3473	거주지역이 어디신가요?
3480	스마트폰을 소지하고 계신가요?
3517	인터넷 뱅킹을 최근에 사용하신적이 있나요? 언제쯤인지?
3534	가까운 영업점을 안내해 드릴까요?
3538	고객님 인터넷 뱅킹 할 수 있으신가요?
3546	지로/생활요금 보이시나요?
3557	네, 무엇을 도와드리면 좋을까요?
3587	지금 스마트폰뱅킹 접속중이신가요?
3598	OTP를 소지하고 계시나요?
3604	인터넷뱅킹이나 스마트폰뱅킹에 접속가능하신가요?
3618	오픈뱅킹서비스를 신청하신적이 있나요?
3637	건강보험료를 자동이체 납부하시고 싶다는 말씀이시지요?
3639	지금은 어떻게 납부하고 계신가요?
3649	어떤 은행 이용하세요?
3651	OO은행 인터넷 뱅킹 접속되시나요?
3657	혹시 인터넷 뱅킹이나 스마트폰 뱅킹 이용 고객이신가요?
3665	자주 이용하는 이체대상 계좌번호를 등록하시면 어떨까요?
3677	스마트폰을 소지하고 계신가요?
3681	안드로이드 폰이신가요? 아이폰이신가요?
3701	지금 고객등급이 어떻게 되시나요?
3703	인터넷뱅킹이나 스마트폰뱅킹에 접속가능하신가요?
3720	개인고객님이신가요?
3741	어디서 하는지 메뉴 좀 알려주세요.
3757	언제부터 작동하지 않나요?
3759	OPT 발급일을 확인해 주시겠어요?
3763	발급일이 3년을 넘었나요?
3769	보안카드는 가지고 계시나요?
3778	인터넷 뱅킹이나 스마트폰 뱅킹을 이용하시나요?
3797	어디로 송금하시는 건가요?
3802	외화로 송금하시나요? 외화통장에서 이체하시나요?
3807	얼마를 송금하실 예정인가요?
3824	6자리로 등록하셔야합니다 텔레뱅킹을 최근에 가입하셨나요?
3826	텔레뱅킹 등록시 이체비밀번호를 등록하지 않으셨나요?
3828	텔레뱅킹 가입후 가입내역을 받으시지 않으셨나요?
3837	이체가 완료 되었나요?
3857	인터넷 뱅킹에 출금계좌 등록을 하셨나요?
3877	계좌 비밀번호를 변경을 원하시나요?
3884	오류가 몇번 나셨나요?
3898	스마트폰을 이용하시나요?
3901	로그인은 어떻게 하나요?
3918	스마트폰에 뱅킹앱이 설치되어 있으신가요?
3923	혹시 지금 접속중이신가요?
3934	또 궁금하신 점이 있으세요?
3968	혹시 재산세만 납부하고 싶으신가요?
3974	혹시 재산세 납부 후 하루 안에 취소도 가능한가요?
3977	은행 방문없이 납부하기를 원하시는건가요?
3979	인터넷이나 스마트폰 뱅킹을 사용하시나요?
3985	1분기, 2분기 부과분 모두 납부하시고 싶다는 말씀이신가요?
4028	다른 문의사항 있으세요?
4038	창구에서 언제 입금하셨나요 고객님?
4047	더 문의 사항이 있으신가요?
4050	동전 분리기가 은행에 있나요?
4060	은행에서 무카드 서비스를 등록하셨나요?
4068	스마트폰 뱅킹 앱이 있으세요?
4078	성함과 생년월일을 알려주시겠어요?
4080	고객님, 계좌가 여러 개인데 어떤 계좌를 말씀하시나요?
4098	결제일을 변경하고 싶으세요?
4102	스마트폰에 카드 앱이 깔려 있나요?
4117	오픈뱅킹 무카드 출금서비스를 안내해 드릴까요?
4119	말씀하신 오픈뱅킹이 무슨앱이신가요?
4131	편의점 ATM기기는 아무곳이나 되나요?
4137	어떤점을 알고 싶으신가요?
4141	제가 대신 인출할 수 있는 방법이 전혀 없나요?
4169	통장은 소지하고 계신가요?
4188	본인명의 휴대폰으로만 되나요?
4199	현금이 필요하신가요? 이체를 원하시나요?
4205	수수료 말씀이신가요?
4217	인터넷 뱅킹에서 말씀이신가요?
4227	혹시 외화 입금도 ATM에서 되나요?
4234	우대환율 말씀이세요?
4242	스마트 폰 앱 알림센터에 가서 알림설정이 되어 있는지 확인해 주시겠어요?
4254	문자알림서비스 등록해 드릴까요?
4272	당행 카드를 소지하고 계신가요?
4298	네 고객님, 중소기업 청년전세대출을 언제부터 이용하셨나요?
4300	만기일은 언제인가요?
4318	인터넷 뱅킹에 접속중이신가요?
4335	추가 문의사항이 있으신가요?
4358	네, 고객님 무엇을 도와드릴까요?
4361	어떤 방법이 편리하신가요?
4468	은행에 방문해야 하나요?
4479	신차 구매 예정이신가요?
4502	부부합산 연소득이 6천만원 이하이신가요?
4504	혹시 미셩년 자녀가 있으신가요?
4539	어떤 대출을 신청하셨나요?
4559	직장인이신가요? 자영업자이신가요?
4562	얼마나 대출받으실 예정이신가요?
4568	신혼부부이신가요?
4590	대출하신지 얼마나 되셨나요?
4592	대출 약정기간은 얼마동안이세요?
4618	어떤 종류의 주택이신가요?
4620	아파트 구입을 위한 대출이신가요? 
4635	다른 문의사항 있으신가요?
4638	마이너스 통장은 만드셨나요?
4646	사업자등록증이 있으세요?
4667	지금 신청하도록 도와드릴까요?
4669	우선 인터넷 뱅킹 접속하시겠어요?
4681	근무하신지 얼마나 되셨나요?
4687	총 전세보증금이 얼마인가요?
4698	네, 무엇을 도와드릴까요?
4700	현직장에서 근무하신지 얼마나 되셨나요?
4718	대학생이신가요?
4747	인터넷뱅킹이나 스마트폰뱅킹에 접속 가능하세요?
4755	진행하시면서, 추가 문의사항 있으시면 남겨주세요.
4769	본인인지 확인하기 위해 문자를 보내면 인증해 주시겠어요?
4787	신용카드 장기론 신청하시겠어요?
4822	직장인이신가요?
4824	얼마동안 근무하셨어요?
4860	사업자 등록하신지 얼마나 되셨나요?
4862	기존에 사업관련 대출을 받으신 적이 있나요?
4865	검토를 받아 보시겠어요?
4880	고객님의 연령이 어떻게 되시나요?
4898	미혼이세요?
4900	신혼부부이신가요?
4917	햇살론 신청목적이 어떻게 되시나요?
4919	연소득이 얼마이신가요?
4959	당행에 예금이 가입되어 있으신가요?
4979	대출 실행하신지 얼마나 되셨나요?
4981	대출만기는 언제이신가요?
5019	대출 신청을 언제 하셨나요?
5022	혹시 대출 승인 안되었다는 안내를 받으셨나요?
5071	챗봇 상담후 추가 전화상담 신청해 드릴까요?
5077	코로나로 인한 피해가 크신가요?
5080	연매출이 1억원 이하이신가요?
5093	추가 문의사항이 있으신가요?
5097	안녕하세요. 고객님. 저희 은행 연금에 가입되어 있으신가요?
5099	납입 완료하셨나요?
5117	연체기간이 얼마나 되셨나요?
5119	오래 되셨나요?
5122	문자로 안내를 받지 못하셨나요?
5157	공인인증서는 가지고 계신가요?
5159	공인인증서로 로그인을 진행하시는 건가요?
5163	비밀번호 오류를 몇회 하셨나요?
5172	더 궁금한 사항이 있으신가요?
5177	자녀 명의로 OO은행계좌가 있으신가요?
5183	학생증에 주민번호가 나와있나요?
5189	네, 혹시 더 궁금하신 게 있으신가요? 
5197	대출금의 사용처가 어디세요?
5199	전세금 인가요? 매매 인가요?
5201	본인 거주 목적이신가요?
5205	아파트 매매가격이 어떻게 될까요?
5207	수도권 기준 인가요?
5211	대출금액 외에 다른 본인부담금은 마련되셨나요?
5216	쇼핑을 하신건가요?
5218	혹시 금액이 30만원 이상인가요?
5220	공인인증서가 없으신가요?
5236	어떤 카드 사용하고 계신가요?
5239	얼마로 상향시키시나요?
5255	어느나라 인가요?
5271	어느 지점으로 찾으러 가면 되나요?
5331	기업고객이신가요?
5343	공인인증서를 가지고 있나요?
5356	진행해 드릴까요?
5362	출금하실 계좌번호가 OOOO-OOOOOO맞으신가요?
5479	고객님은 만19세 이상 내국인으로 주민등록증 또는 운전면허증을 보유하고 계신가요?
5481	고객님은 본인명의의 스마트폰을 이용하시고 계신가요?
5483	고객님은 ㅇㅇ은행 또는 타행의 본인 계좌로 본인 확인 절차가 가능하실까요?
5491	8천만원 한장으로 된 수표를 말씀하시는 건가요?
5496	통장에서 출금해서 발행하실 건가요?
5511	수표 금액이 어떻게 되시나요?
5513	한장인가요?
5531	100만원권 수표인가요?
5533	본인 통장으로 먼저 입금후 이체하실 건가요?
5550	OO은행입니다. 무엇을 도와드릴까요?
5556	자동이체 하는 방법을 알려드릴까요?
5566	또 다른 문의사항 있으세요?
5570	OO은행입니다. 무엇을 도와드릴까요 고객님?
5576	네, 다른 문의사항 있으실까요?
5582	또 다른 문의사항 있으실까요?
5590	OO은행입니다. 무엇을 도와드릴까요 고객님?
5596	또 문의사항 있으세요?
5598	말씀하세요?
5604	다른 문의사항 있으실까요?
5607	또 다른 문의사항 있으실까요?
5610	OO은행입니다. 무엇을 도와드릴까요 고객님?
5614	다른 문의사항 있으실까요?
5618	다른 문의사항 있으실까요?
5622	또 다른 문의사항 있으실까요?
5626	추가 문의사항 있으신가요?
5630	제일은행입니다. 무엇을 도와드릴까요 고객님?
5646	추가 문의사항 있으신가요?
5650	OO은행입니다. 무엇을 도와드릴까요 고객님?
5654	다른 문의사항 있으실까요?
5656	네,인터넷뱅킹 이체한도 조회방법 안내드릴까요?
5658	개인회원이신가요?
5666	또 다른 문의사항 있으실까요?
5670	OO은행입니다. 무엇을 도와드릴까요 고객님?
5676	또 다른 문의사항 있으신가요?
5682	다른 문의사항 있으실까요?
5686	또 다른 문의사항 있으실까요?
5690	OO은행입니다. 무엇을 도와드릴까요?
5696	또 문의사항 있으세요?
5698	말씀해주세요
5702	다른 문의사항 있으실까요?
5704	네 말씀하세요
5710	씨티은행입니다. 무엇을 도와드릴까요 고객님?
5716	다른 문의사항 있으실까요?
5718	무엇이 궁금하세요?
5722	다른 문의사항 있으실까요?
5727	추가 문의사항 있으신가요?
5730	OO은행입니다. 무엇을 도와드릴까요 고객님?
5736	다른 문의사항 있으실까요?
5738	말씀하세요?
5742	다른 문의사항 있으실까요?
5744	네,무엇인가요?
5747	궁금하신게 있나요?
5750	기업은행입니다. 무엇을 도와드릴까요 고객님?
5760	다른 문의사항 있으실까요?
5766	또 다른 문의사항 있으실까요?
5770	OO은행입니다. 무엇을 도와드릴까요 고객님?
5776	추가 문의사항 있으신가요?
5778	말씀하세요?
5780	네,인터넷뱅킹에서 이체 확인증을 받는방법 안내 도와드릴까요?
5784	다른 질문 있으세요?
5787	또 다른 문의사항 있으실까요?
5790	OO은행입니다. 무엇을 도와드릴까요 고객님?
5798	또 다른 문의사항 있으실까요?
5802	또 다른 문의사항 있으실까요?
5806	또 다른 문의사항 있으실까요?
5810	OO은행입니다. 무엇을 도와드릴까요 고객님?
5822	또 다른 문의사항 있으실까요?
5826	추가 문의사항 있으신가요?
5830	OO은행입니다. 무엇을 도와드릴까요 고객님?
5832	보안매체 따라 다릅니다. 어떤 걸 사용하고 계신가요?
5842	다른 문의사항 있으실까요?
5846	또 다른 문의사항 있으실까요?
5850	OO은행입니다. 무엇을 도와드릴까요 고객님?
5854	개인고객이신가요?
5862	다른 문의사항 있으실까요?
5870	새마을금고입니다. 무엇을 도와드릴까요 고객님?
5874	잠시만요. 개인고객이세요?
5886	또 다른 문의사항 있으실까요?
5890	제일은행입니다. 무엇을 도와드릴까요 고객님?
5894	다른 문의사항 있으실까요?
5896	네,인터넷뱅킹 1일 이체한도 조회방법 안내드릴까요?
5898	개인회원이신가요?
5906	또 다른 문의사항 있으실까요?
5910	OO은행입니다. 무엇을 도와드릴까요 고객님?
5914	신청하실때 기재사항은 다 적으셨지요?
5920	다른문의사항 있으실까요?
5926	또 다른 문의사항 있으실까요?
5930	OO은행입니다. 무엇을 도와드릴까요 고객님?
5940	다른 문의사항 있으실까요?
5946	또 다른 문의사항 있으실까요?
5950	외환은행입니다. 무엇을 도와드릴까요 고객님?
5958	또 다른 문의사항 있으실까요?
5962	또 다른 문의사항 있으실까요?
5966	또 다른 문의사항 있으실까요?
5970	기업은행입니다. 무엇을 도와드릴까요 고객님?
5972	보안매체 뭘 사용하시나요?
5982	추가 질문 있으세요?
5986	또 다른 문의사항 있으실까요?
5989	OO은행입니다. 무엇을 도와드릴까요 고객님?
6005	또 다른 문의사항 있으실까요?
6009	제일은행입니다. 무엇을 도와드릴까요 고객님?
6015	네, 자동이체 하는 방법을 알려드릴까요?
6025	또 다른 문의사항 있으실까요?
6029	OO은행입니다. 무엇을 도와드릴까요 고객님?
6035	네, 다른 문의사항 있으실까요?
6041	추가 질문 있으세요?
6049	OO은행입니다. 무엇을 도와드릴까요 고객님?
6055	다른 문의사항 있으실까요?
6058	차단 기준 값요? 쉽게 설명해주세요
6061	다른 질문 있으세요?
6065	또 다른 문의사항 있으실까요?
6069	OO은행입니다. 무엇을 도와드릴까요 고객님?
6079	다른 문의사항 있으실까요?
6085	또 다른 문의사항 있으실까요?
6095	제출까지 진행하셨나요?
6099	다른 궁금하신 점이 있으신가요?
6105	궁금하신 사항 더 있나요?
6114	ATM기기는  24시간 사용가능한가요?
6132	대출 이력이 있으실까요?
6134	얼마정도 대출 받고 싶으세요?
6136	대출 방법 좀 알려주세요
6147	네. 고객님. 더 궁금한 질문있으신가요.
6149	00은행 고객센터입니다 무엇을 도와드릴까요 고객님?
6159	다른 문의사항 있으신가요?
6165	추가 궁금하신 점 있으신가요?
6194	고객님 현재 구입하시려는 아파트를 담보로 하시는 거세요?
6196	얼마까지 대출될까요?
6207	네 고객님 다른 문의사항 있으신가요?
6210	그쪽에서 받기전에 바로 취소처리하면 안되나요?
6230	나이가 어떻게 되시나요?
6255	지금 연결가능하신가요?
6276	외화계좌도 똑같아요?
6297	대출 신청 도와드릴까요?
6307	이체가능한 방법 알려주세요
6352	더 궁금하신거 없으세요?
6359	인터넷뱅킹 이용고객이신가요?
6376	개인형퇴직연금제도인 IRP에 등록되어 있으신가요?
6396	어떤 자동이체를 해지하고 싶으신가요?
6401	인터넷 뱅킹 사용하세요?
6405	찾으시면 말씀해주시겠어요?
6409	관리비 결제일이 언제이신가요?
6416	자동이체 계좌를 변경하시나요?
